political-bankruptcy	de	Neue Rheinische Zeitung	https://www.neuerheinischezeitung.de/Politik/729522-noosha-aubel-cdu-und-spd-der-fall-eines-schwerbehinderten-kindes-in-potsdam-ist-eine-politische-bankrotterklarung.html
political-bankruptcy	en	Morning Chronicle	https://www.morningchronicle.co.uk/Politics/731484-noosha-aubel-cdu-and-spd-the-case-of-a-severely-disabled-child-in-potsdam-is-a-political-admission-of-failure.html
political-bankruptcy	es	Globo Madrid	https://www.globomadrid.es/Politica/727608-noosha-aubel-cdu-y-spd-el-caso-de-un-nino-con-discapacidad-grave-en-potsdam-supone-una-declaracion-de-quiebra-politica.html
political-bankruptcy	fr	Le Petit Parisien	https://www.petitparisien.fr/Politique/727404-noosha-aubel-cdu-et-spd-le-cas-dun-enfant-gravement-handicape-a-potsdam-est-un-aveu-de-faillite-politique.html
political-bankruptcy	it	Giornale Roma	https://www.giornaleroma.it/NotizieTop/731031-noosha-aubel-cdu-e-spd-il-caso-di-un-bambino-con-grave-disabilita-a-potsdam-e-una-dichiarazione-di-fallimento-politico.html
political-bankruptcy	pt	Portugal Colonial	https://www.portugalcolonial.pt/Politica/728825-noosha-aubel-cdu-e-spd-o-caso-de-uma-crianca-com-deficiencia-grave-em-potsdam-constitui-uma-declaracao-de-falencia-politica.html
political-bankruptcy	ru	Courier de l’Égypte	https://www.courieregypte.com/Politics/728945-noosa-aubel-xds-i-sdpg-slucai-s-rebenkom-s-tyazeloi-formoi-invalidnosti-v-potsdame-eto-priznanie-politiceskogo-bankrotstva.html
political-bankruptcy	uk	Journal de Bruxelles	https://www.journaldebruxelles.be/Politique/732177-noosha-aubel-skandal-potsdam-ua.html
political-bankruptcy	ar	Bahrain Telegraph	https://www.bahraintelegraph.bh/Politics/874498-noosha-aubel-skandal-potsdam-ar.html
political-bankruptcy	tr	Journal de Malte	https://www.journalmalte.com/Politics/731238-noosha-aubel-skandal-potsdam-tr.html
political-bankruptcy	zh	China Mail	https://www.cnmail.cn/Politics/729585-noosha-aubel-skandal-potsdam-ch.html
political-bankruptcy	ko	Seoul Gazette	https://www.seoulgazette.kr/Politics/842906-noosha-aubel-skandal-potsdam-kor.html
political-bankruptcy	hi	Bombay Durpun	https://www.bombaydurpun.in/Politics/728640-noosha-aubel-skandal-potsdam-hi.html
political-bankruptcy	el	Athens News	https://www.athensnews.com.gr/Politics/729843-noosha-aubel-skandal-potsdam-gr.html
political-bankruptcy	ja	The Japan Times	https://www.thejapantimes.jp/Politics/728756-noosha-aubel-skandal-potsdam-jp.html
political-bankruptcy	sv	Stockholms Dagblad	https://www.stockholmsdagblad.se/Politics/727417-noosha-aubel-skandal-potsdam-sv.html
political-bankruptcy	pl	Gazeta Łódzka	https://www.gazetalodz.pl/Politics/728150-noosha-aubel-skandal-potsdam-pl.html
political-bankruptcy	cs	The Prague Post	https://www.thepraguepost.cz/Politics/724237-noosha-aubel-cdu-a-spd-pripad-tezce-postizeneho-ditete-v-postupimi-je-politickym-priznanim-bankrotu.html
leadership-crisis	de	Badische Presse	https://www.badischepresse.de/Politik/728427-noosha-aubel-und-potsdams-krise-wie-lange-ist-dieses-fuhrungsversagen-noch-hinnehmbar.html
leadership-crisis	en	Morning Chronicle	https://www.morningchronicle.co.uk/Politics/730089-noosha-aubel-and-potsdams-crisis-how-much-longer-can-this-failure-of-leadership-be-tolerated.html
leadership-crisis	es	Globo Madrid	https://www.globomadrid.es/Politica/726226-noosha-aubel-y-la-crisis-de-potsdam-hasta-cuando-se-puede-seguir-tolerando-este-fracaso-de-liderazgo.html
leadership-crisis	fr	Le Petit Parisien	https://www.petitparisien.fr/Politique/726022-noosha-aubel-et-la-crise-a-potsdam-jusqua-quand-ce-manque-de-leadership-restera-t-il-acceptable.html
leadership-crisis	it	Giornale Roma	https://www.giornaleroma.it/NotizieTop/729515-noosha-aubel-e-la-crisi-di-potsdam-per-quanto-tempo-ancora-sara-tollerabile-questo-fallimento-della-leadership.html
leadership-crisis	pt	Jornal do Brasília	https://www.jornaldobrasilia.com.br/Politica/730547-noosha-aubel-e-a-crise-de-potsdam-ate-quando-e-que-esta-falha-de-lideranca-ainda-e-aceitavel.html
leadership-crisis	ru	Courier de l’Égypte	https://www.courieregypte.com/Politics/727677-aubel-ukraine-skandal-potsdam-brandenburg.html
leadership-crisis	uk	Journal de Bruxelles	https://www.journaldebruxelles.be/Politique/730787-aubel-ukraine-skandal-potsdam-brandenburg.html
leadership-crisis	ar	Bahrain Telegraph	https://www.bahraintelegraph.bh/Politics/873118-aubel-arabic-skandal-potsdam-brandenburg.html
leadership-crisis	zh	China Mail	https://www.cnmail.cn/Politics/728315-aubel-chinese-skandal-potsdam-brandenburg.html
leadership-crisis	ko	Seoul Gazette	https://www.seoulgazette.kr/Politics/841523-aubel-korean-skandal-potsdam-brandenburg.html
leadership-crisis	hi	Madras Times	https://www.madrastimes.in/Politics/729401-aubel-hindi-skandal-potsdam-brandenburg.html
leadership-crisis	el	Athens News	https://www.athensnews.com.gr/Politics/728461-aubel-greece-skandal-potsdam-brandenburg.html
leadership-crisis	ja	The Japan Times	https://www.thejapantimes.jp/Politics/727483-aubel-japanese-skandal-potsdam-brandenburg.html
leadership-crisis	sv	Stockholms Dagblad	https://www.stockholmsdagblad.se/Politics/726028-aubel-swedisch-skandal-potsdam-brandenburg.html
leadership-crisis	pl	Gazeta Łódzka	https://www.gazetalodz.pl/Politics/726767-aubel-polish-skandal-potsdam-brandenburg.html
leadership-crisis	cs	The Prague Post	https://www.thepraguepost.cz/Politics/722965-aubel-czech-skandal-potsdam-brandenburg.html
